Key,app_af,app_am,app_ar,app_ar_AE,app_ar_DZ,app_ar_EG,app_az,app_bg,app_bn,app_bn_IN,app_ca,app_cs,app_da,app_de,app_de_AT,app_de_CH,app_el,app_en,app_en_AU,app_en_CA,app_en_GB,app_en_IN,app_es,app_es_AR,app_es_CO,app_es_MX,app_et,app_fa,app_fi,app_fr,app_fr_BE,app_fr_CA,app_fr_CH,app_gl,app_gu,app_he,app_hi,app_hr,app_hu,app_id,app_it,app_ja,app_kk,app_ko,app_lt,app_lv,app_ml,app_mn,app_mr,app_ms,app_ms_SG,app_my,app_nb,app_ne,app_nl,app_nl_BE,app_pl,app_pt,app_pt_PT,app_ro,app_ru,app_ru_KZ,app_ru_UA,app_si,app_sk,app_sl,app_sr,app_sv,app_sw,app_ta,app_te,app_th,app_tl,app_tr,app_uk,app_ur,app_ur_IN,app_uz,app_vi,app_zh,app_zh_CN,app_zh_HK,app_zh_MO,app_zh_SG
product_name,Teller,ቆጣሪ,عداد,عداد,عداد,عداد,Sayğac,Брояч,কাউন্টার,কাউন্টার,Comptador,Počítadlo,Tæller,Zähler,Zähler,Zähler,Μετρητής,Counter,Counter,Counter,Counter,Counter,Contador,Contador,Contador,Contador,Loendur,شمارنده,Laskuri,Compteur,Compteur,Compteur,Compteur,Contador,કાઉન્ટર,מונה,काउंटर,Brojač,Számláló,Penghitung,Contatore,カウンター,Санауыш,카운터,Skaitiklis,Skaitītājs,കൗണ്ടർ,Тоологч,काउंटर,Pengira,Pengira,ကောင်တာ,Teller,काउन्टर,Teller,Teller,Licznik,Contador,Contador,Contor,Счетчик,Счетчик,Лічильник,ගණකය,Počítadlo,Števec,Бројач,Räknare,Kihesabu,எண்ணிக்கை,కౌంటర్,เครื่องนับ,Counter,Sayaç,Лічильник,کاؤنٹر,کاؤنٹر,Hisoblagich,Bộ Đếm,計數器,计数器,計數器,計數器,计数器
product_desc,"Gebruik rekenaarsigbaarheid en KI om mense, voertuie, troeteldiere en meer te tel.","Համակարգչային տեսողության և արհեստական բանականության միջոցով հաշվել մարդկանց, տրանսպորտային միջոցները, կենդանիներին և այլն։",استخدام الرؤية الحاسوبية والذكاء الاصطناعي لعد الأشخاص والمركبات والحيوانات الأليفة والمزيد.,استخدام رؤية الكمبيوتر والذكاء الاصطناعي لعد الأشخاص والمركبات والحيوانات الأليفة والمزيد.,استخدام الرؤية الحاسوبية والذكاء الاصطناعي لعد الأشخاص والمركبات والحيوانات الأليفة والمزيد.,استخدام الرؤية الحاسوبية والذكاء الاصطناعي لعد الأشخاص والمركبات والحيوانات الأليفة والمزيد.,"Kompüter görmə və süni intellektdən istifadə edərək insanları, nəqliyyat vasitələrini, ev heyvanlarını və digərlərini saymaq üçün.","Използване на компютърно зрение и изкуствен интелект за броене на хора, превозни средства, домашни любимци и други.","কম্পিউটার ভিশন এবং এআই ব্যবহার করে মানুষ, যানবাহন, পোষা প্রাণী এবং আরও অনেক কিছু গণনা করুন।","কম্পিউটার ভিশন এবং এআই ব্যবহার করে মানুষ, যানবাহন, পোষা প্রাণী এবং আরও অনেক কিছু গণনা করুন।","Utilitza visió per ordinador i intel·ligència artificial per comptar persones, vehicles, mascotes i més.","Využívá počítačové vidění a umělou inteligenci k počítání osob, vozidel, domácích mazlíčků a dalších objektů.","Bruger computer vision og AI til at tælle personer, køretøjer, kæledyr og mere.","Nutzung von Computer Vision und KI zum Zählen von Personen, Fahrzeugen, Haustieren und mehr.","Nutzt Computervision und KI, um Personen, Fahrzeuge, Haustiere und mehr zu zählen.","Verwendet Computervision und KI, um Personen, Fahrzeuge, Haustiere und mehr zu zählen.","Χρησιμοποιεί υπολογιστική όραση και τεχνητή νοημοσύνη για να μετρά ανθρώπους, οχήματα, κατοικίδια και άλλα.","Using computer vision and ai to count people, vehicles, pets, and more.","Using computer vision and AI to count people, vehicles, pets, and more.","Using computer vision and AI to count people, vehicles, pets, and more.","Using computer vision and AI to count people, vehicles, pets, and more.","Using computer vision and AI to count people, vehicles, pets, and more.","Usando visión artificial e IA para contar personas, vehículos, mascotas y más.","Usa visión por computadora e inteligencia artificial para contar personas, vehículos, mascotas y más.","Utiliza visión por computadora e inteligencia artificial para contar personas, vehículos, mascotas y más.","Usa visión computacional e inteligencia artificial para contar personas, vehículos, mascotas y más.","Arvutinägemise ja tehisintellekti abil inimeste, sõidukite, lemmikloomade ja muu loendamine.",با استفاده از بینایی کامپیوتری و هوش مصنوعی برای شمارش افراد، وسایل نقلیه، حیوانات خانگی و موارد دیگر.,"Käyttää konenäköä ja tekoälyä laskemaan ihmisiä, ajoneuvoja, lemmikkejä ja muuta.","Utilisation de la vision par ordinateur et de l'IA pour compter les personnes, véhicules, animaux et plus encore.","Utilisez la vision par ordinateur et l'IA pour compter les personnes, les véhicules, les animaux et plus encore.","Utilisez la vision par ordinateur et l'IA pour compter les personnes, véhicules, animaux et plus encore.","Utilise la vision par ordinateur et l'IA pour compter les personnes, véhicules, animaux et plus encore.","Usa visión por computador e intelixencia artificial para contar persoas, vehículos, mascotas e moito máis.","કમ્પ્યુટર વિઝન અને AI નો ઉપયોગ કરીને લોકો, વાહનો, પાલતુ પ્રાણીઓ અને વધુની ગણતરી કરો.","שימוש בראייה ממוחשבת ובינה מלאכותית לספירת אנשים, כלי רכב, חיות מחמד ועוד.","कंप्यूटर विज़न और एआई का उपयोग करके लोगों, वाहनों, पालतू जानवरों और अन्य चीज़ों की गिनती करें।","Korištenje računalnog vida i umjetne inteligencije za brojanje ljudi, vozila, kućnih ljubimaca i više.","Számoljon embereket, járműveket, háziállatokat és egyebeket számítógépes látás és mesterséges intelligencia segítségével.","Menggunakan visi komputer dan kecerdasan buatan untuk menghitung orang, kendaraan, hewan peliharaan, dan lainnya.","Utilizza la visione artificiale e l'IA per contare persone, veicoli, animali domestici e altro.",コンピュータービジョンとAIを使用して、人、車両、ペットなどをカウントします。,"Компьютерлік көру және жасанды интеллект арқылы адамдарды, көліктерді, үй жануарларын және т.б. санау.","컴퓨터 비전과 AI를 사용하여 사람, 차량, 반려동물 등을 카운팅합니다.","Naudojant kompiuterinę viziją ir dirbtinį intelektą skaičiuoti žmones, transporto priemones, gyvūnus ir daugiau.","Izmanto datora redzi un mākslīgo intelektu, lai skaitītu cilvēkus, transportlīdzekļus, mājdzīvniekus un citus objektus.","കമ്പ്യൂട്ടർ വിഷനും കൃത്രിമബുദ്ധിയും ഉപയോഗിച്ച് ആളുകൾ, വാഹനങ്ങൾ, വളർത്തുമൃഗങ്ങൾ തുടങ്ങിയവ എണ്ണുന്നു.","Компьютер хараа ба хиймэл оюун ухааныг ашиглан хүмүүс, тээврийн хэрэгсэл, гэрийн тэжээвэр амьтад болон бусад зүйлсийг тоолох.","कंप्युटर व्हिजन आणि एआय वापरून लोक, वाहने, पाळीव प्राणी आणि इतर गोष्टींची मोजणी करा.","Menggunakan penglihatan komputer dan kecerdasan buatan untuk mengira orang, kenderaan, haiwan peliharaan, dan banyak lagi.","Menggunakan penglihatan komputer dan AI untuk mengira orang, kenderaan, haiwan peliharaan, dan sebagainya.",ကွန်ပျူတာမျက်စိနှင့် AI ကိုအသုံးပြု၍ လူများ၊ ယာဉ်များ၊ အိမ်မွေးတိရစ္ဆာန်များနှင့် အခြားအရာများကို ရေတွက်ပါ။,"Bruk datamaskinsyn og kunstig intelligens for å telle mennesker, kjøretøy, kjæledyr og mer.","कम्प्युटर भिजन र एआई प्रयोग गरेर मानिसहरू, सवारी साधनहरू, पालतु जनावरहरू, र अन्य कुराहरू गन्ने।","Computer vision en AI gebruiken om mensen, voertuigen, huisdieren en meer te tellen.","Gebruik computervision en AI om mensen, voertuigen, huisdieren en meer te tellen.","Wykorzystuje widzenie komputerowe i sztuczną inteligencję do liczenia osób, pojazdów, zwierząt i nie tylko.","Use visão computacional e IA para contar pessoas, veículos, animais de estimação e muito mais.","Utilização de visão computacional e IA para contar pessoas, veículos, animais de estimação e mais.","Folosește viziunea computerizată și inteligența artificială pentru a număra persoane, vehicule, animale de companie și multe altele.","Использование компьютерного зрения и ИИ для подсчета людей, транспортных средств, животных и многого другого.","Подсчет людей, транспортных средств, домашних животных и многого другого с помощью компьютерного зрения и искусственного интеллекта.","Использование компьютерного зрения и ИИ для подсчета людей, транспортных средств, домашних животных и многого другого.","පරිගණක දර්ශනය සහ කෘතිම බුද්ධිය භාවිතා කරමින් මිනිසුන්, වාහන, සුරතල් සතුන් සහ තවත් දේ ගණනය කිරීම.","Využíva počítačové videnie a umelú inteligenciu na počítanie ľudí, vozidiel, domácich zvierat a ďalších objektov.","Uporaba računalniškega vida in umetne inteligence za štetje ljudi, vozil, hišnih ljubljenčkov in več.","Korišćenje računarskog vida i veštačke inteligencije za brojanje ljudi, vozila, kućnih ljubimaca i više.","Använder datorseende och AI för att räkna personer, fordon, husdjur och mer.","Kutumia maono ya kompyuta na akili bandia kuhesabu watu, magari, wanyama vipenzi, na zaidi.","கணினி பார்வை மற்றும் செயற்கை நுண்ணறிவைப் பயன்படுத்தி மக்கள், வாகனங்கள், செல்லப்பிராணிகள் மற்றும் பலவற்றை எண்ணுதல்.","కంప్యూటర్ విజన్ మరియు ఏఐని ఉపయోగించి వ్యక్తులను, వాహనాలను, పెంపుడు జంతువులను మరియు మరిన్నింటిని లెక్కించడానికి.",ใช้คอมพิวเตอร์วิชั่นและเอไอเพื่อนับคน ยานพาหนะ สัตว์เลี้ยง และอื่นๆ,"Gumagamit ng computer vision at AI para mag-bilang ng tao, sasakyan, alagang hayop, at iba pa.","Bilgisayarlı görü ve yapay zeka kullanarak insan, araç, evcil hayvan ve daha fazlasını sayın.","Використання комп'ютерного зору та штучного інтелекту для підрахунку людей, транспортних засобів, домашніх тварин та іншого.",کمپیوٹر وژن اور مصنوعی ذہانت کا استعمال کرتے ہوئے لوگوں، گاڑیوں، پالتو جانوروں، اور مزید کو گنتی کرنا۔,کمپیوٹر وژن اور مصنوعی ذہانت کا استعمال کرتے ہوئے لوگوں، گاڑیوں، پالتو جانوروں، اور مزید کی گنتی کریں۔,"Kompyuter ko'rishi va sun'iy intellekt yordamida odamlar, transport vositalari, uy hayvonlari va boshqalarni hisoblash.","Sử dụng thị giác máy tính và trí tuệ nhân tạo để đếm người, phương tiện, thú cưng và nhiều đối tượng khác.",使用電腦視覺和人工智慧來計數人員、車輛、寵物等。,使用计算机视觉和人工智能来计数人员、车辆、宠物等。,使用電腦視覺和人工智能來計數人員、車輛、寵物等。,使用電腦視覺同人工智能來計數人員、車輛、寵物等。,使用计算机视觉和人工智能来计数人员、车辆、宠物等。
product_copyright,Kopiereg © 2025,Հեղինակային իրավունք © 2025,حقوق النشر © 2025,حقوق النشر © 2025,حقوق النشر © 2025,حقوق النشر © 2025,Müəllif hüququ © 2025,Авторско право © 2025,কপিরাইট © ২০২৫,কপিরাইট © ২০২৫,Copyright © 2025,Copyright © 2025,Ophavsret © 2025,Copyright © 2025,Copyright © 2025,Copyright © 2025,Πνευματικά δικαιώματα © 2025,Copyright © 2025,Copyright © 2025,Copyright © 2025,Copyright © 2025,Copyright © 2025,Copyright © 2025,Derechos de autor © 2025,Derechos de autor © 2025,Derechos de autor © 2025,Autoriõigus © 2025,حق نشر © ۲۰۲۵,Tekijänoikeus © 2025,Copyright © 2025,Droits d'auteur © 2025,Tous droits réservés © 2025,Copyright © 2025,Copyright © 2025,કૉપિરાઇટ © 2025,כל הזכויות שמורות © 2025,कॉपीराइट © 2025,Autorska prava © 2025,Szerzői jog © 2025,Hak Cipta © 2025,Copyright © 2025,Copyright © 2025,Барлық құқықтар қорғалған © 2025,Copyright © 2025,Autorių teisės © 2025,Autortiesības © 2025,പകർപ്പവകാശം © 2025,Зохиогчийн эрх © 2025,कॉपीराइट © 2025,Hak Cipta © 2025,Hak Cipta © 2025,မူပိုင်ခွင့် © 2025,Opphavsrett © 2025,प्रतिलिपि अधिकार © 2025,Copyright © 2025,Copyright © 2025,Copyright © 2025,Copyright © 2025,Direitos de Autor © 2025,Drepturi de autor © 2025,Авторские права © 2025,Авторское право © 2025,Авторское право © 2025,ප්‍රකාශන හිමිකම © 2025,Copyright © 2025,Avtorske pravice © 2025,Copyright © 2025,Copyright © 2025,Hakimiliki © 2025,பதிப்புரிமை © 2025,కాపీరైట్ © 2025,ลิขสิทธิ์ © 2025,Karapatang-ari © 2025,Telif Hakkı © 2025,Авторське право © 2025,کاپی رائٹ © 2025,حق اشاعت © 2025,Mualliflik huquqi © 2025,Bản quyền © 2025,版權所有 © 2025,版权所有 © 2025,版權所有 © 2025,版權所有 © 2025,版权所有 © 2025
video_sources_webcam,Webkamera,Վեբ տեսախցիկ,كاميرا الويب,كاميرا الويب,كاميرا الويب,كاميرا الويب,Veb-kamera,Уеб камера,ওয়েবক্যাম,ওয়েবক্যাম,Càmera web,Webkamera,Webcam,Webcam,Webcam,Webcam,Κάμερα web,Webcam,Webcam,Webcam,Webcam,Webcam,Webcam,Cámara web,Cámara web,Cámara web,Veebikaamera,وب‌کم,Webkamera,Webcam,Webcam,Webcam,Webcam,Cámara web,વેબકેમ,מצלמת רשת,वेबकैम,Web kamera,Webkamera,Webcam,Webcam,ウェブカメラ,Веб-камера,웹캠,Internetinė kamera,Tīmekļa kamera,വെബ്കാം,Вэб камер,वेबकॅम,Kamera web,Kamera web,ဝက်ဘ်ကင်မရာ,Webkamera,वेबक्याम,Webcam,Webcam,Kamera internetowa,Webcam,Webcam,Webcam,Веб-камера,Веб-камера,Веб-камера,වෙබ්කැමරාව,Webkamera,Spletna kamera,Veb kamera,Webbkamera,Kamera ya wavuti,வெப்கேம்,వెబ్‌క్యామ్,เว็บแคม,Webcam,Web Kamerası,Веб-камера,ویب کیم,ویب کیم,Veb-kamera,Webcam,網路攝影機,网络摄像头,網絡攝影機,網絡攝影機,网络摄像头
video_sources_live_stream,Regstreekse stroom-URL,Ուղիղ հեռարձակման URL,رابط البث المباشر,رابط البث المباشر,رابط البث المباشر,رابط البث المباشر,Canlı yayım URL,URL на живо предаване,লাইভ স্ট্রিম URL,লাইভ স্ট্রিম URL,URL de transmissió en directe,URL živého přenosu,Live stream URL,Live-Stream URL,Live-Stream URL,Live-Stream URL,URL ζωντανής ροής,Live stream URL,Live stream URL,Live stream URL,Live stream URL,Live stream URL,URL de transmisión en directo,URL de transmisión en vivo,URL de transmisión en vivo,URL de transmisión en vivo,Otseülekande URL,آدرس پخش زنده,Suoratoistolinkin URL,URL de flux en direct,URL de diffusion en direct,URL de diffusion en direct,URL de flux en direct,URL de transmisión en directo,લાઇવ સ્ટ્રીમ URL,כתובת שידור חי,लाइव स्ट्रीम URL,URL živog prijenosa,Élő közvetítés URL,URL siaran langsung,URL di streaming live,ライブストリームURL,Тікелей эфир URL,라이브 스트림 URL,Tiesioginės transliacijos URL,Tiešraides URL,ലൈവ് സ്ട്രീം URL,Шууд дамжуулалтын URL,लाइव स्ट्रीम URL,URL strim langsung,URL aliran langsung,တိုက်ရိုက်ထုတ်လွှင့်မှု URL,Direktestrøm URL,लाइभ स्ट्रिम URL,Livestream URL,Livestream URL,Adres URL transmisji na żywo,URL de transmissão ao vivo,URL de transmissão em direto,URL flux live,URL прямой трансляции,URL прямой трансляции,URL прямой трансляции,සජීවී ප්‍රවාහ URL,URL živého prenosu,URL naslov v živo,URL live streama,Direktsändnings-URL,URL ya mubashara,நேரலை ஓட URL,లైవ్ స్ట్రీమ్ URL,URL สตรีมสด,Live stream URL,Canlı yayın URL'si,URL трансляції,براہ راست سٹریم یو آر ایل,لائیو اسٹریم یو آر ایل,Jonli efir URL,URL phát trực tiếp,直播串流網址,直播流网址,直播串流網址,直播串流網址,直播流网址
video_sources_file,Lêer,Ֆայլ,ملف,ملف,ملف,ملف,Fayl,Файл,ফাইল,ফাইল,Fitxer,Soubor,Fil,Datei,Datei,Datei,Αρχείο,File,File,File,File,File,Archivo,Archivo,Archivo,Archivo,Fail,فایل,Tiedosto,Fichier,Fichier,Fichier,Fichier,Ficheiro,ફાઇલ,קובץ,फ़ाइल,Datoteka,Fájl,File,File,ファイル,Файл,파일,Failas,Fails,ഫയൽ,Файл,फाइल,Fail,Fail,ဖိုင်,Fil,फाइल,Bestand,Bestand,Plik,Arquivo,Ficheiro,Fișier,Файл,Файл,Файл,ගොනුව,Súbor,Datoteka,Fajl,Fil,Faili,கோப்பு,ఫైల్,ไฟล์,File,Dosya,Файл,فائل,فائل,Fayl,Tệp,檔案,文件,檔案,檔案,文件
video_sources_camera,Kamera,Տեսախցիկ,الكاميرا,الكاميرا,كاميرا,الكاميرا,Kamera,Камера,ক্যামেরা,ক্যামেরা,Càmera,Kamera,Kamera,Kamera,Kamera,Kamera,Κάμερα,Camera,Camera,Camera,Camera,Camera,Cámara,Cámara,Cámara,Cámara,Kaamera,دوربین,Kamera,Caméra,Caméra,Caméra,Caméra,Cámara,કેમેરા,מצלמה,कैमरा,Kamera,Kamera,Kamera,Fotocamera,カメラ,Камера,카메라,Kamera,Kamera,ക്യാമറ,Камер,कॅमेरा,Kamera,Kamera,ကင်မရာ,Kamera,क्यामेरा,Camera,Camera,Aparat,Câmera,Câmara,Cameră,Камера,Камера,Камера,කැමරාව,Kamera,Kamera,Kamera,Kamera,Kamera,கேமரா,కెమెరా,กล้อง,Camera,Kamera,Камера,کیمرہ,کیمرہ,Kamera,Camera,相機,相机,相機,相機,相机
video_sources_camera_not_found_title,Kamera nie gevind nie,Տեսախցիկը չի գտնվել,الكاميرا غير موجودة,الكاميرا غير موجودة,الكاميرا غير موجودة,الكاميرا غير موجودة,Kamera tapılmadı,Камерата не е намерена,ক্যামেরা পাওয়া যায়নি,ক্যামেরা পাওয়া যায়নি,Càmera no trobada,Kamera nenalezena,Kamera ikke fundet,Kamera nicht gefunden,Kamera nicht gefunden,Kamera nicht gefunden,Η κάμερα δεν βρέθηκε,Camera not found,Camera not found,Camera not found,Camera not found,Camera not found,Cámara no encontrada,Cámara no encontrada,Cámara no encontrada,Cámara no encontrada,Kaamerat ei leitud,دوربین پیدا نشد,Kameraa ei löydy,Caméra introuvable,Caméra introuvable,Caméra introuvable,Caméra introuvable,Cámara non atopada,કેમેરા મળ્યો નથી,מצלמה לא נמצאה,कैमरा नहीं मिला,Kamera nije pronađena,Kamera nem található,Kamera tidak ditemukan,Fotocamera non trovata,カメラが見つかりません,Камера табылмады,카메라를 찾을 수 없음,Kamera nerasta,Kamera nav atrasta,ക്യാമറ കണ്ടെത്തിയില്ല,Камер олдсонгүй,कॅमेरा सापडला नाही,Kamera tidak dijumpai,Kamera tidak dijumpai,ကင်မရာမတွေ့ပါ,Kamera ikke funnet,क्यामेरा फेला परेन,Camera niet gevonden,Camera niet gevonden,Nie znaleziono aparatu,Câmera não encontrada,Câmara não encontrada,Camera nu a fost găsită,Камера не найдена,Камера не найдена,Камера не найдена,කැමරාව හමු නොවීය,Kamera nenájdená,Kamera ni najdena,Kamera nije pronađena,Kamera hittades inte,Kamera haijapatikana,கேமரா கண்டுபிடிக்கப்படவில்லை,కెమెరా కనబడలేదు,ไม่พบกล้อง,Hindi nahanap ang camera,Kamera bulunamadı,Камеру не знайдено,کیمرہ نہیں ملا,کیمرہ نہیں ملا,Kamera topilmadi,Không tìm thấy camera,找不到相機,找不到相机,找不到相機,搵唔到相機,找不到相机
video_sources_camera_not_found_message,Moet kamera-toestemming verleen om kamera te gebruik,Տեսախցիկն օգտագործելու համար անհրաժեշտ է թույլտվություն տալ,يجب منح إذن استخدام الكاميرا لاستخدامها,تحتاج إلى منح إذن الكاميرا لاستخدامها,يجب منح إذن استخدام الكاميرا,يجب منح إذن الكاميرا لاستخدامها,Kameradan istifadə etmək üçün kamera icazəsi tələb olunur,Необходимо е да дадете разрешение за достъп до камерата,ক্যামেরা ব্যবহার করতে অনুমতি প্রদান করুন,ক্যামেরা ব্যবহার করতে অনুমতি প্রদান করুন,Cal concedir permís a la càmera per utilitzar-la,Pro použití kamery je nutné udělit povolení,Kameratilladelse kræves for at bruge kamera,"Kamerazugriff muss gewährt werden, um die Kamera zu nutzen","Sie müssen die Kameraberechtigung erteilen, um die Kamera zu verwenden","Kamerazugriff muss gewährt werden, um die Kamera zu nutzen",Χρειάζεται να παραχωρήσετε άδεια κάμερας για τη χρήση της,Need grant camera permission to use camera,Need to grant camera permission to use camera,Camera permission required to use this feature,Camera permission needs to be granted to use this feature,Need to grant camera permission to use camera,Necesitas conceder permisos de cámara para utilizarla,Necesita otorgar permiso para usar la cámara,Necesitas otorgar permiso para usar la cámara,Se necesita otorgar permiso para usar la cámara,Kaamera kasutamiseks on vaja kaamerapääsu lubada,برای استفاده از دوربین نیاز به مجوز دسترسی دارید,Kameran käyttö vaatii kameraoikeuksien hyväksymisen,Vous devez autoriser l'accès à la caméra pour l'utiliser,Vous devez accorder l'autorisation d'accès à la caméra pour l'utiliser,Vous devez accorder la permission d'accéder à la caméra,Veuillez accorder l'autorisation d'accès à la caméra pour l'utiliser,Necesita conceder permiso de cámara para utilizala,કેમેરાનો ઉપયોગ કરવા માટે કેમેરા પરમિશન આપવાની જરૂર છે,יש לאשר הרשאת מצלמה כדי להשתמש במצלמה,कैमरा का उपयोग करने के लिए कैमरा अनुमति की आवश्यकता है,Potrebno je odobriti dozvolu za pristup kameri,A kamera használatához engedélyezni kell a kamera hozzáférést,Perlu memberikan izin kamera untuk menggunakan kamera,È necessario concedere i permessi per utilizzare la fotocamera,カメラを使用するには権限の許可が必要です,Камераны пайдалану үшін камера рұқсатын беру қажет,카메라를 사용하려면 카메라 권한이 필요합니다,"Reikia suteikti kameros leidimą, kad galėtumėte naudoti kamerą","Lai izmantotu kameru, nepieciešama atļauja piekļūt kamerai",ക്യാമറ ഉപയോഗിക്കാൻ ക്യാമറ അനുമതി നൽകേണ്ടതുണ്ട്,Камерыг ашиглахын тулд камерын зөвшөөрөл өгөх шаардлагатай,कॅमेरा वापरण्यासाठी कॅमेरा परवानगी देणे आवश्यक आहे,Perlu memberi kebenaran kamera untuk menggunakan kamera,Perlu memberikan kebenaran kamera untuk menggunakan kamera,ကင်မရာကိုအသုံးပြုရန် ကင်မရာခွင့်ပြုချက်လိုအပ်သည်,Trenger kameratillatelse for å bruke kamera,क्यामेरा प्रयोग गर्न क्यामेरा अनुमति दिनुपर्छ,Cameratoestemming is nodig om de camera te gebruiken,Cameratoestemming nodig om de camera te gebruiken,Wymagane jest udzielenie uprawnień do korzystania z aparatu,É necessário conceder permissão para usar a câmera,É necessário conceder permissão para utilizar a câmara,Trebuie să acordați permisiunea pentru cameră pentru a o putea utiliza,Необходимо предоставить разрешение на использование камеры,Необходимо предоставить разрешение на использование камеры,Необходимо предоставить разрешение на использование камеры,කැමරාව භාවිතා කිරීමට කැමරා අවසරය ලබා දිය යුතුය,Na použitie kamery je potrebné udeliť povolenie,Za uporabo kamere potrebujete dovoljenje,Potrebno je odobriti dozvolu za kameru da biste je koristili,Du behöver ge kamerabehörighet för att använda kameran,Unahitaji kutoa ruhusa ya kamera kutumia kamera,கேமராவைப் பயன்படுத்த அனுமதி வழங்க வேண்டும்,కెమెరాను ఉపయోగించడానికి కెమెరా అనుమతి అవసరం,ต้องอนุญาตการเข้าถึงกล้องเพื่อใช้งาน,Kailangan ng permiso sa camera para magamit ito,Kamerayı kullanmak için kamera izni vermeniz gerekiyor,Потрібно надати дозвіл на використання камери,کیمرہ استعمال کرنے کے لیے کیمرہ کی اجازت دینی ہوگی,کیمرہ استعمال کرنے کے لیے کیمرہ کی اجازت دینا ضروری ہے,Kameradan foydalanish uchun ruxsat berishingiz kerak,Cần cấp quyền camera để sử dụng tính năng này,使用此功能需要相機權限。,使用此功能需要相机权限。,使用此功能需要相機權限。,使用相機需要授權權限。,使用此功能需要相机权限。
video_sources_webcam_not_found_title,Webkamera nie gevind nie,Վեբ տեսախցիկը չի գտնվել,كاميرا الويب غير موجودة,كاميرا الويب غير موجودة,كاميرا الويب غير موجودة,كاميرا الويب غير موجودة,Veb-kamera tapılmadı,Уеб камерата не е намерена,ওয়েবক্যাম পাওয়া যায়নি,ওয়েবক্যাম পাওয়া যায়নি,Càmera web no trobada,Webkamera nenalezena,Webcam ikke fundet,Webcam nicht gefunden,Webcam nicht gefunden,Webcam nicht gefunden,Η κάμερα web δεν βρέθηκε,Webcam not found,Webcam not found,Webcam not found,Webcam not found,Webcam not found,Webcam no encontrada,Cámara web no encontrada,Cámara web no encontrada,Cámara web no encontrada,Veebikaamerat ei leitud,وب‌کم پیدا نشد,Webkameraa ei löydy,Webcam introuvable,Webcam introuvable,Webcam introuvable,Webcam introuvable,Cámara web non atopada,વેબકેમ મળ્યો નથી,מצלמת רשת לא נמצאה,वेबकैम नहीं मिला,Web kamera nije pronađena,Webkamera nem található,Webcam tidak ditemukan,Webcam non trovata,ウェブカメラが見つかりません,Веб-камера табылмады,웹캠을 찾을 수 없음,Internetinė kamera nerasta,Tīmekļa kamera nav atrasta,വെബ്കാം കണ്ടെത്തിയില്ല,Вэб камер олдсонгүй,वेबकॅम सापडला नाही,Kamera web tidak dijumpai,Kamera web tidak dijumpai,ဝက်ဘ်ကင်မရာမတွေ့ပါ,Webkamera ikke funnet,वेबक्याम फेला परेन,Webcam niet gevonden,Webcam niet gevonden,Nie znaleziono kamery internetowej,Webcam não encontrada,Webcam não encontrada,Webcam-ul nu a fost găsit,Веб-камера не найдена,Веб-камера не найдена,Веб-камера не найдена,වෙබ්කැමරාව හමු නොවීය,Webkamera nenájdená,Spletna kamera ni najdena,Veb kamera nije pronađena,Webbkamera hittades inte,Kamera ya wavuti haijapatikana,வெப்கேம் கண்டுபிடிக்கப்படவில்லை,వెబ్‌క్యామ్ కనబడలేదు,ไม่พบเว็บแคม,Hindi nahanap ang webcam,Web kamerası bulunamadı,Веб-камеру не знайдено,ویب کیم نہیں ملا,ویب کیم نہیں ملا,Veb-kamera topilmadi,Không tìm thấy webcam,找不到網路攝影機,找不到网络摄像头,找不到網絡攝影機,搵唔到網絡攝影機,找不到网络摄像头
